temp_c,condition,wind_kph,pressure_mb,precip_mm,humidity,cloud,feelslike_c,vis_km,state
23.2,0,6.8,1006,0,67,5,25.1,10,0
23,0,6.6,1005,0,67,6,25,10,0
22.7,0,6.4,1005,0,67,8,24.9,10,0
22.5,0,6.1,1005,0,67,10,24.8,10,0
22.3,0,6,1005,0,68,10,24.7,10,0
22,0,5.9,1006,0,68,10,24.6,10,0
21.8,0,5.8,1006,0,69,10,21.8,10,0
23.7,20,6.4,1006,0,65,10,25.8,10,0
25.5,20,7,1007,0,60,10,27.2,10,0
27.4,20,7.6,1007,0,56,11,28.5,10,0
29.5,20,8.2,1006,0,52,11,31.1,10,0
31.5,20,8.8,1005,0,48,11,33.7,10,0
33.6,20,9.4,1004,0,44,11,36.3,10,0
33.7,20,9.2,1004,0,43,10,36.4,10,0
33.8,20,9.1,1003,0,43,9,36.5,10,0
33.9,20,9,1002,0,42,9,36.6,10,0
31.8,20,7.4,1003,0,47,8,33.9,10,0
29.6,20,5.9,1003,0,51,8,31.3,10,0
27.5,0,4.3,1004,0,55,8,28.6,10,0
26.6,0,5,1004,0,57,12,27.7,10,0
25.6,0,5.8,1005,0,59,16,26.9,10,0
24.7,0,6.5,1005,0,61,20,26,10,0
23.9,0,6.5,1005,0,62,14,25.6,10,0
23.1,0,6.5,1005,0,63,8,25.1,10,0
27.7,19,6.1,1003,0.04,82,71,32,10,0
27.5,19,6.2,1002,0.02,83,76,31.6,10,0
27.3,19,6.4,1002,0.03,83,81,31.3,10,0
27.1,19,6.5,1001,0.04,83,86,30.9,10,0
27.2,19,6.4,1002,0.02,81,85,30.9,10,0
27.4,19,6.2,1003,0.03,80,85,31,10,0
27.5,19,6.1,1004,0.04,78,84,31,10,0
28,19,5.3,1004,0.02,75,86,31.5,10,0
28.5,19,4.4,1004,0.03,72,87,32.1,10,0
29,19,3.6,1005,0.04,69,89,32.6,10,0
29.8,19,4.3,1004,0.02,67,87,33.8,9.7,0
30.5,19,5,1003,0.23,65,85,35.1,9.3,0
31.3,19,5.8,1002,0.31,63,83,36.3,9,0
30.9,19,6.1,1002,0.16,65,84,35.9,9.3,0
30.5,6,6.5,1001,0.27,67,84,35.5,9.7,0
30.1,6,6.8,1001,0.36,70,85,35.1,10,0
29.7,6,7.2,1001,0.18,72,86,34.6,10,0
29.3,19,7.6,1002,0.03,74,88,34.1,10,0
28.9,19,7.9,1002,0.04,76,89,33.6,10,0
28.8,19,7.8,1003,0.02,76,87,33.4,10,0
28.6,19,7.7,1003,0.03,77,84,33.2,10,0
28.5,19,7.6,1004,0.04,77,82,33,10,0
28.1,19,7.3,1003,0.02,79,65,32.3,10,0
27.6,14,7.1,1002,0,81,48,31.7,10,0
